year,team,threea
2018,ATL,26
2017,ATL,26.1
2016,ATL,28.4
2018,BOS,28.9
2017,BOS,33.4
2016,BOS,26.1
2018,BRK,32.4
2017,BRK,31.6
2016,BRK,18.4
2018,CHA,26.6
2017,CHA,28.6
2016,CHA,29.4
2018,CHI,32.4
2016,CHI,21.4
2017,CHI,22.3
2018,CLE,30.1
2017,CLE,33.9
2016,CLE,29.6
2018,DAL,32.8
2017,DAL,30.2
2016,DAL,28.6
2018,DEN,27.4
2017,DEN,28.8
2016,DEN,23.7
2018,DET,28.3
2017,DET,23.4
2016,DET,26.2
2018,GSW,33.4
2017,GSW,31.2
2016,GSW,31.6
2018,HOU,44.1
2017,HOU,40.3
2016,HOU,30.9
2018,IND,24
2017,IND,23
2016,IND,23
2018,LAC,29.8
2017,LAC,27.4
2016,LAC,26.7
2018,LAL,24
2017,LAL,25.7
2016,LAL,24.6
2018,MEM,29.7
2017,MEM,26.5
2016,MEM,18.5
2018,MIA,30.8
2017,MIA,27
2016,MIA,18
2018,MIL,25.2
2016,MIL,15.6
2017,MIL,23.7
2018,MIN,22.9
2017,MIN,21
2016,MIN,16.4
2018,NOP,30.4
2017,NOP,26.8
2016,NOP,23.8
2018,NYK,25.5
2017,NYK,24.7
2016,NYK,21.5
2018,OKC,31.8
2017,OKC,25.8
2016,OKC,23.7
2018,ORL,28.9
2017,ORL,26.1
2016,ORL,22.2
2018,PHI,30
2017,PHI,29.8
2016,PHI,27.5
2018,PHO,25.8
2017,PHO,22.6
2016,PHO,25.8
2018,POR,26
2017,POR,27.7
2016,POR,28.5
2018,SAC,22.2
2017,SAC,23.9
2016,SAC,22.4
2018,SAS,21.1
2017,SAS,23.5
2016,SAS,18.5
2018,TOR,32.8
2017,TOR,24.3
2016,TOR,23.4
2018,UTA,27.7
2016,UTA,23.9
2017,UTA,26
2018,WSH,27
2016,WSH,24.2
2017,WSH,24.8
